Timeperiod,Direction,WeekDay,Hour,Count
Lockdown,From City,Wednesday,7,22.1
Lockdown,From City,Wednesday,8,21.4
Lockdown,From City,Wednesday,9,19.9
Lockdown,From City,Wednesday,10,21
Lockdown,From City,Wednesday,11,24.6
Lockdown,From City,Wednesday,12,23.9
Lockdown,From City,Wednesday,13,24.9
Lockdown,From City,Wednesday,14,33.4
Lockdown,From City,Wednesday,15,38
Lockdown,From City,Wednesday,16,42.1
Lockdown,From City,Wednesday,17,24
Lockdown,From City,Wednesday,18,6.4
Lockdown,From City,Wednesday,19,2
Lockdown,From City,Wednesday,20,1.3
Lockdown,From City,Wednesday,21,0.3
Lockdown,From City,Wednesday,22,0.4
Lockdown,From City,Wednesday,23,0.1
Lockdown,From City,Thursday,0,0.09090909090909091
Lockdown,From City,Thursday,1,0
Lockdown,From City,Thursday,2,0.09090909090909091
Lockdown,From City,Thursday,3,0.18181818181818182
Lockdown,From City,Thursday,4,0.2727272727272727
Lockdown,From City,Thursday,5,0.5454545454545454
Lockdown,From City,Thursday,6,5.2727272727272725
Lockdown,From City,Thursday,7,16.818181818181817
Lockdown,From City,Thursday,8,23.545454545454547
Lockdown,From City,Thursday,9,13.636363636363637
Lockdown,From City,Thursday,10,18.363636363636363
Lockdown,From City,Thursday,11,16.545454545454547
Lockdown,From City,Thursday,12,16.272727272727273
Lockdown,From City,Thursday,13,18.09090909090909
Lockdown,From City,Thursday,14,20.90909090909091
Lockdown,From City,Thursday,15,29.818181818181817
Lockdown,From City,Thursday,16,33.36363636363637
Lockdown,From City,Thursday,17,18.636363636363637
Lockdown,From City,Thursday,18,7.545454545454546
Lockdown,From City,Thursday,19,2
Lockdown,From City,Thursday,20,0.45454545454545453
Lockdown,From City,Thursday,21,0.45454545454545453
Lockdown,From City,Thursday,22,0.36363636363636365
Lockdown,From City,Thursday,23,0
Lockdown,From City,Friday,0,0.18181818181818182
Lockdown,From City,Friday,1,0.09090909090909091
Lockdown,From City,Friday,2,0.18181818181818182
Lockdown,From City,Friday,3,0.09090909090909091
Lockdown,From City,Friday,4,0.36363636363636365
Lockdown,From City,Friday,5,0.8181818181818182
Lockdown,From City,Friday,6,5.363636363636363
Lockdown,From City,Friday,7,16.90909090909091
Lockdown,From City,Friday,8,22.09090909090909
Lockdown,From City,Friday,9,18.181818181818183
Lockdown,From City,Friday,10,20.636363636363637
Lockdown,From City,Friday,11,21
Lockdown,From City,Friday,12,17.09090909090909
Lockdown,From City,Friday,13,24.90909090909091
Lockdown,From City,Friday,14,30.636363636363637
Lockdown,From City,Friday,15,31
Lockdown,From City,Friday,16,34.09090909090909
Lockdown,From City,Friday,17,14.090909090909092
Lockdown,From City,Friday,18,3.6363636363636362
Lockdown,From City,Friday,19,1.0909090909090908
Lockdown,From City,Friday,20,0.5454545454545454
Lockdown,From City,Friday,21,0.18181818181818182
Lockdown,From City,Friday,22,0
Lockdown,From City,Friday,23,0.45454545454545453
Lockdown,From City,Saturday,0,0.09090909090909091
Lockdown,From City,Saturday,1,0.09090909090909091
Lockdown,From City,Saturday,2,0
Lockdown,From City,Saturday,3,0
Lockdown,From City,Saturday,4,0.18181818181818182
Lockdown,From City,Saturday,5,0.09090909090909091
Lockdown,From City,Saturday,6,3.090909090909091
Lockdown,From City,Saturday,7,8.363636363636363
Lockdown,From City,Saturday,8,15.454545454545455
Lockdown,From City,Saturday,9,25.09090909090909
Lockdown,From City,Saturday,10,28.454545454545453
