SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
314000,Kingsbury,2.58105528,2.58105528
314100,Ashgrove,0.66739414,0.66739414
314200,Rangiora North East,2.02027663,2.02027663
314300,Oxford Estate,0.52355057,0.52355057
314400,Rangiora Central,0.36710759,0.36710759
314500,Rangiora South West,0.85640238,0.85640238
314600,Lilybrook,1.26324533,1.26324533
314700,Waikuku,28.7379721,28.7379721
314800,Mandeville-Ohoka,40.40061498,40.40061498
314900,Rangiora South East,2.6674417,2.6674417
315000,Southbrook,2.31019456,2.31019456
315100,Swannanoa-Eyreton,61.77213058,61.77213058
315200,Tuahiwi,22.70498482,22.70498482
315300,Woodend,3.48748915,3.48748915
315400,Pegasus,6.33744603,6.33744603
315500,Clarkville,30.17125424,30.17125424
315600,Pegasus Bay,24.5669629,24.5669629
315700,Kaiapoi North West,3.51396127,3.51396127
315800,Silverstream (Waimakariri District),0.97115644,0.97115644
315900,Sovereign Palms,1.91527989,1.91527989
316000,Kaiapoi West,0.5102552,0.5102552
316100,Kaiapoi Central,1.51313743,1.51313743
316200,Kaiapoi South,0.87520507,0.87520507
316300,Kaiapoi East,5.02907053,5.02907053
316400,McLeans Island,73.94345029,73.94345029
316500,Paparua,23.32169511,23.32169511
316600,Yaldhurst,12.10662148,12.10662148
316700,Christchurch Airport,11.46321637,11.46321637
316800,Clearwater,5.71332091,5.71332091
316900,Belfast West,3.09764866,3.09764866
317000,Harewood,3.77808402,3.77808402
317100,Brooklands-Spencerville,7.24724584,7.24724584
317200,Styx,32.71625807,32.71625807
317300,Belfast East,2.88148063,2.88148063
317400,Northwood,1.45244667,1.45244667
317500,Russley,1.86777494,1.86777494
317600,Regents Park,1.45375948,1.45375948
317700,Hawthornden,1.89245555,1.89245555
317800,Bishopdale North,1.3684224,1.3684224
317900,Casebrook,1.83250102,1.83250102
318000,Bishopdale West,1.13060616,1.13060616
318100,Templeton,0.89855715,0.89855715
318200,Islington,1.77881722,1.77881722
318300,Burnside Park,1.33883255,1.33883255
318400,Marshland,10.10551842,10.10551842
318500,Avonhead North,0.63463917,0.63463917
318600,Redwood North,1.09252656,1.09252656
318700,Broomfield,1.00144447,1.00144447
318800,Redwood West,0.81581469,0.81581469
318900,Avonhead West,0.61397696,0.61397696
319000,Bishopdale South,0.70451597,0.70451597
319100,Islington-Hornby Industrial,7.17918508,7.17918508
319200,Burnside,1.36196789,1.36196789
319300,Hei Hei,1.24268313,1.24268313
319400,Papanui North,0.59939608,0.59939608
319500,Avonhead East,0.8351918,0.8351918
319600,Redwood East,1.26952067,1.26952067
319700,Avonhead South,1.0252514,1.0252514
319800,Riccarton Racecourse,1.69210885,1.69210885
319900,Bryndwr North,1.09070137,1.09070137
320000,Northlands (Christchurch City),0.62903107,0.62903107
320100,Papanui West,1.0016985,1.0016985
320200,Ilam North,1.23178205,1.23178205
320300,Hornby West,0.74485748,0.74485748
320400,Hornby Central,2.27022992,2.27022992
320500,Northcote (Christchurch City),1.67620457,1.67620457
320600,Jellie Park,1.31125296,1.31125296
320700,Ilam South,0.91177469,0.91177469
320800,Bryndwr South,0.90574677,0.90574677
320900,Papanui East,0.82838075,0.82838075
321000,Sockburn North,1.23987082,1.23987082
321100,Hornby South,1.36582244,1.36582244
321200,Ilam University,1.22716656,1.22716656
321300,Prestons,3.98306526,3.98306526
321400,Strowan,1.43506914,1.43506914
321500,Fendalton,0.92187577,0.92187577
321600,Waitikiri,1.85081259,1.85081259
321700,Mairehau North,2.21664748,2.21664748
321800,Bush Inn,0.83923849,0.83923849
321900,Awatea North,1.02585862,1.02585862
322000,Upper Riccarton,0.52083977,0.52083977
322100,Malvern,0.99015235,0.99015235
322200,Rutland,0.98659322,0.98659322
322300,Sockburn South,2.48547608,2.48547608
322400,Deans Bush,1.25176702,1.25176702
322500,Wigram North,0.76776339,0.76776339
322600,Holmwood,1.12946438,1.12946438
322700,Wharenui,0.83895558,0.83895558
322800,Wigram West,0.45878331,0.45878331
322900,Awatea South,1.51060273,1.51060273
323000,Merivale,1.10449674,1.10449674
323100,Mairehau South,1.38628176,1.38628176
323200,Mona Vale,0.54775174,0.54775174
323300,Riccarton West,0.62257937,0.62257937
323400,Shirley West,1.63066447,1.63066447
323500,Middleton,1.90189507,1.90189507
323600,Wigram South,0.39906993,0.39906993
323700,Queenspark,1.12074483,1.12074483
323800,St Albans North,0.63715918,0.63715918
323900,St Albans West,0.68131176,0.68131176
324000,Travis Wetlands,2.54935978,2.54935978
324100,Wigram East,0.31243455,0.31243455
324200,Riccarton Central,0.39843525,0.39843525
324300,Oaklands West,1.69814976,1.69814976
324400,Riccarton South,0.5446627,0.5446627
324500,Halswell West,6.36639314,6.36639314
324600,Shirley East,1.69660977,1.69660977
324700,Broken Run,0.42222058,0.42222058
324800,St Albans East,0.67550285,0.67550285
324900,Hagley Park,2.18711156,2.18711156
325000,Hillmorton,2.91693323,2.91693323
325100,Parklands,1.80335402,1.80335402
325200,Riccarton East,0.20811641,0.20811641
325300,Edgeware,1.01462724,1.01462724
325400,Aidanfield,1.68401322,1.68401322
325500,Tower Junction,1.07287164,1.07287164
325600,Burwood,1.20976505,1.20976505
325700,Christchurch Central-West,0.69698551,0.69698551
325800,Christchurch Central-North,0.77753402,0.77753402
325900,Richmond North (Christchurch City),1.16647674,1.16647674
326000,Waimairi Beach,0.58127409,0.58127409
326100,Addington West,0.55789684,0.55789684
326200,Otakaro-Avon River Corridor,6.13239842,6.13239842
326300,Oaklands East,1.30062892,1.30062892
326400,Addington North,0.43431408,0.43431408
326500,Dallington,0.84120136,0.84120136
326600,Christchurch Central,0.71393735,0.71393735
326700,Hoon Hay West,1.07523139,1.07523139
326800,Richmond South (Christchurch City),0.80279751,0.80279751
326900,Spreydon West,1.0269873,1.0269873
327000,Christchurch Central-East,0.71344676,0.71344676
327100,Christchurch Central-South,1.250479,1.250479
327200,North Beach,1.98903797,1.98903797
327300,Halswell North,2.60853722,2.60853722
327400,Addington East,0.56822363,0.56822363
327500,Avondale (Christchurch City),1.26092385,1.26092385
327600,Spreydon North,1.21383804,1.21383804
327700,Hoon Hay East,1.82288035,1.82288035
327800,Avonside,0.81030652,0.81030652
327900,Linwood West,1.07759998,1.07759998
328000,Halswell South,1.78085932,1.78085932
328100,Sydenham Central,1.21275693,1.21275693
328200,Spreydon South,0.72391644,0.72391644
328300,Rawhiti,1.93513163,1.93513163
328400,Wainoni,1.50391214,1.50391214
328500,Linwood North,0.8574418,0.8574418
328600,Aranui,1.41641589,1.41641589
328700,Sydenham West,0.48794081,0.48794081
328800,Lancaster Park,1.11557726,1.11557726
328900,Phillipstown,0.9334353,0.9334353
329000,Kennedys Bush,12.0059087,12.0059087
329100,Somerfield East,1.22917183,1.22917183
329200,Somerfield West,1.18118116,1.18118116
329300,Linwood East,0.91216529,0.91216529
329400,Sydenham North,0.48343692,0.48343692
329500,Hoon Hay South,0.79560345,0.79560345
329600,Charleston (Christchurch City),0.36094657,0.36094657
