DHB,Date,Age,Eligible,Immunised
Canterbury,2012-03-31,6 months,1531,1181
Canterbury,2012-06-30,12 months,1459,1349
Canterbury,2012-06-30,18 months,1615,1345
Canterbury,2012-06-30,24 months,1576,1434
Canterbury,2012-06-30,5 years,1717,1372
Canterbury,2012-06-30,6 months,1492,1178
Canterbury,2012-09-30,12 months,1544,1438
Canterbury,2012-09-30,18 months,1605,1325
Canterbury,2012-09-30,24 months,1565,1387
Canterbury,2012-09-30,5 years,1653,1346
Canterbury,2012-09-30,6 months,1496,1235
Canterbury,2012-09-30,8 months,1481,1355
Canterbury,2012-12-31,12 months,1502,1417
Canterbury,2012-12-31,18 months,1462,1243
Canterbury,2012-12-31,24 months,1598,1458
Canterbury,2012-12-31,5 years,1726,1388
Canterbury,2012-12-31,6 months,1495,1254
Canterbury,2012-12-31,8 months,1520,1387
Canterbury,2013-03-31,12 months,1507,1416
Canterbury,2013-03-31,18 months,1537,1338
Canterbury,2013-03-31,24 months,1604,1461
